Politica,P_Carryon,N,Media_Segundos,Desvio_Segundos,EE_Media,EE_Desvio
Steffen,0.0,1000,966.0,0.0,0.0,0.0
Steffen,0.1,1000,1136.53,45.7,1.445,1.022
Steffen,0.25,1000,1266.01,37.24,1.178,0.833
Steffen,0.5,1000,1385.31,26.88,0.85,0.601
Steffen,0.75,1000,1488.83,23.38,0.739,0.523
Steffen,0.9,1000,1560.38,18.86,0.596,0.422
Steffen,1.0,1000,1615.89,7.36,0.233,0.165
WILMA,0.0,1000,1031.21,17.19,0.544,0.384
WILMA,0.1,1000,1209.47,55.24,1.747,1.235
WILMA,0.25,1000,1381.55,54.9,1.736,1.228
WILMA,0.5,1000,1582.3,54.12,1.712,1.21
WILMA,0.75,1000,1750.39,49.86,1.577,1.115
WILMA,0.9,1000,1844.39,45.41,1.436,1.015
WILMA,1.0,1000,1912.82,40.39,1.277,0.903
RANDOM,0.0,1000,1189.01,43.46,1.374,0.972
RANDOM,0.1,1000,1350.34,62.8,1.986,1.404
RANDOM,0.25,1000,1520.17,68.08,2.153,1.522
RANDOM,0.5,1000,1724.97,67.79,2.144,1.516
RANDOM,0.75,1000,1898.69,67.4,2.132,1.507
RANDOM,0.9,1000,2000.79,64.47,2.039,1.442
RANDOM,1.0,1000,2071.02,61.31,1.939,1.371
BackToFrontUltimate,0.0,1000,1129.36,44.17,1.397,0.988
BackToFrontUltimate,0.1,1000,1334.35,67.37,2.131,1.507
BackToFrontUltimate,0.25,1000,1505.0,66.96,2.117,1.497
BackToFrontUltimate,0.5,1000,1721.86,71.98,2.276,1.61
BackToFrontUltimate,0.75,1000,1925.02,70.4,2.226,1.574
BackToFrontUltimate,0.9,1000,2034.57,72.05,2.278,1.611
BackToFrontUltimate,1.0,1000,2115.64,69.67,2.203,1.558
BackToFront,0.0,1000,1233.67,49.14,1.554,1.099
BackToFront,0.1,1000,1462.8,78.25,2.474,1.75
BackToFront,0.25,1000,1703.9,83.68,2.646,1.871
BackToFront,0.5,1000,2072.11,89.05,2.816,1.991
BackToFront,0.75,1000,2427.03,88.03,2.784,1.968
BackToFront,0.9,1000,2637.59,77.95,2.465,1.743
BackToFront,1.0,1000,2777.07,67.8,2.144,1.516
